City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.52,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
2,Jalpan,MX,78.46,few clouds,21.2333,-99.4833,Posada Karina
5,Atuona,PF,79.2,broken clouds,-9.8,-139.0333,Pearl Resort
13,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
21,Daru,PG,77.94,heavy intensity rain,-9.0763,143.2092,Kuki
24,Vaini,TO,81.82,overcast clouds,-21.2,-175.2,Keleti International Resort
25,Kapaa,US,78.12,clear sky,22.0752,-159.319,Pono Kai Resort
26,Macae,BR,80.35,scattered clouds,-22.3708,-41.7869,Hotel Plaza
40,Trincomalee,LK,77.74,overcast clouds,8.5711,81.2335,Silver Star Inn
42,Mar Del Plata,AR,77.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
43,Hilo,US,81.28,light rain,19.7297,-155.09,Dolphin Bay Hotel
49,Bull Savanna,JM,79.05,clear sky,17.8868,-77.5902,Junction Guest House
55,Caravelas,BR,79.32,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
63,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Page 63 hostel
68,Kalmunai,LK,75.56,overcast clouds,7.4167,81.8167,Saji new food
69,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Fidji Motel
71,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
97,Bamako,ML,83.79,scattered clouds,12.65,-8.0,Grand Hotel
104,Gombong,ID,75.52,overcast clouds,-7.6072,109.5142,Permata Hotel
116,Kloulklubed,PW,80.83,overcast clouds,7.0419,134.2556,The Adventures Inn
118,Iquitos,PE,78.84,scattered clouds,-3.7481,-73.2472,Marfil del Amazonas
122,Mount Isa,AU,81.32,broken clouds,-20.7333,139.5,Ibis Styles
125,Bowen,AU,77.47,scattered clouds,-20.0167,148.2333,Whitsunday Sands Resort
