City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.52,77,3,16.96,clear sky
1,Nikolskoye,RU,59.7035,30.7861,22.89,98,70,3.09,broken clouds
2,Jalpan,MX,21.2333,-99.4833,78.46,51,20,8.59,few clouds
3,Pisco,PE,-13.7,-76.2167,73.02,80,52,9.71,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,68.81,74,82,12.46,broken clouds
5,Atuona,PF,-9.8,-139.0333,79.2,71,74,20.33,broken clouds
6,Qaqortoq,GL,60.7167,-46.0333,10.9,67,0,7.56,clear sky
7,Bambous Virieux,MU,-20.3428,57.7575,78.22,81,100,7.99,overcast clouds
8,Codrington,AU,-38.2667,141.9667,63.25,85,100,6.49,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,-23.98,68,65,8.84,broken clouds
10,Yazman,PK,29.1212,71.7446,53.71,41,3,10.27,clear sky
11,Vanino,RU,49.0869,140.2543,-7.13,79,100,7.02,overcast clouds
12,Pevek,RU,69.7008,170.3133,-33.74,96,99,3.69,overcast clouds
13,Avarua,CK,-21.2078,-159.775,80.65,78,75,9.04,light rain
14,Liuli,TZ,-11.0833,34.6333,74.62,77,99,1.66,overcast clouds
15,Naryan-Mar,RU,67.6713,53.087,25.11,93,100,14.12,overcast clouds
16,Kandrian,PG,-6.2167,149.55,77.67,85,99,4.52,overcast clouds
17,Samfya,ZM,-11.3649,29.5565,64.85,92,100,4.94,light rain
18,Haines Junction,CA,60.7522,-137.5108,27.52,93,100,3.67,overcast clouds
19,Tazmalt,DZ,36.3868,4.3989,38.41,93,100,4.99,light rain
20,New Norfolk,AU,-42.7826,147.0587,60.93,76,34,2.46,scattered clouds
21,Daru,PG,-9.0763,143.2092,77.94,89,100,6.08,heavy intensity rain
22,Punta Arenas,CL,-53.15,-70.9167,62.11,29,92,13.58,overcast clouds
23,Castro,BR,-24.7911,-50.0119,74.71,82,63,2.68,broken clouds
24,Vaini,TO,-21.2,-175.2,81.82,72,89,7.7,overcast clouds
25,Kapaa,US,22.0752,-159.319,78.12,79,4,4.0,clear sky
26,Macae,BR,-22.3708,-41.7869,80.35,83,40,6.91,scattered clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-8.14,93,100,5.57,overcast clouds
28,Fairbanks,US,64.8378,-147.7164,-29.7,97,36,1.74,scattered clouds
29,Brae,GB,60.3964,-1.353,47.23,92,100,14.76,overcast clouds
30,Jamestown,US,42.097,-79.2353,33.03,72,100,0.0,snow
31,Ushuaia,AR,-54.8,-68.3,57.29,40,91,4.45,overcast clouds
32,Pangnirtung,CA,66.1451,-65.7125,0.57,99,100,4.34,light snow
33,Keansburg,US,40.4418,-74.1299,42.28,72,100,1.99,overcast clouds
34,Atikokan,CA,48.7555,-91.6216,23.77,89,100,4.18,overcast clouds
35,Bluff,NZ,-46.6,168.3333,54.0,58,84,8.86,broken clouds
36,Guerrero Negro,MX,27.9769,-114.0611,63.28,35,0,15.1,clear sky
37,Sakakah,SA,29.9697,40.2064,54.97,60,0,9.37,clear sky
38,Barrow,US,71.2906,-156.7887,-9.38,84,0,9.22,clear sky
39,Wasilla,US,61.5814,-149.4394,27.93,72,100,1.59,overcast clouds
40,Trincomalee,LK,8.5711,81.2335,77.74,83,99,12.39,overcast clouds
41,Grafton,US,42.207,-71.6856,35.28,85,100,4.61,snow
42,Mar Del Plata,AR,-38.0023,-57.5575,77.83,72,0,15.99,clear sky
43,Hilo,US,19.7297,-155.09,81.28,76,3,8.01,light rain
44,Yellowknife,CA,62.456,-114.3525,-5.51,92,74,4.9,broken clouds
45,Ca Mau,VN,9.1769,105.15,73.76,93,73,4.03,broken clouds
46,Keflavik,IS,64.0049,-22.5624,34.23,55,75,33.38,broken clouds
47,Busselton,AU,-33.65,115.3333,66.15,59,0,8.77,clear sky
48,Coos Bay,US,43.3665,-124.2179,49.32,92,75,6.91,broken clouds
49,Bull Savanna,JM,17.8868,-77.5902,79.05,61,3,18.7,clear sky
50,Kondratovo,RU,57.9804,56.1066,7.09,72,40,11.18,scattered clouds
51,Meulaboh,ID,4.1363,96.1285,74.59,92,100,2.98,overcast clouds
52,Sao Filipe,CV,14.8961,-24.4956,69.84,64,0,13.4,clear sky
