City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-10-30 01:01:52,-46.1927,168.8643,67.48,48,34,10.49
1,Caxito,AO,2022-10-30 01:01:52,-8.5785,13.6643,76.77,88,87,2.73
2,Luquillo,PR,2022-10-30 01:01:53,18.3725,-65.7166,81.0,85,100,10.25
3,Hualmay,PE,2022-10-30 01:01:53,-11.0964,-77.6139,62.1,81,4,9.28
4,Copiapo,CL,2022-10-30 01:01:54,-27.3667,-70.3333,53.29,59,0,1.92
5,Kindu,CD,2022-10-30 01:01:54,-2.95,25.95,70.36,99,100,0.45
6,Klimovo,RU,2022-10-30 01:01:55,52.3805,32.1923,52.18,85,100,17.36
7,Aykhal,RU,2022-10-30 01:01:56,66.0,111.5,6.24,96,100,9.6
8,Butaritari,KI,2022-10-30 01:01:56,3.0707,172.7902,81.41,67,94,13.42
9,Waipawa,NZ,2022-10-30 01:01:57,-41.4122,175.5153,64.81,65,100,14.61
10,Rikitea,PF,2022-10-30 01:01:57,-23.1203,-134.9692,73.65,79,100,8.3
11,Leningradskiy,RU,2022-10-30 01:01:58,69.3833,178.4167,10.38,87,98,18.39
12,Saskylakh,RU,2022-10-30 01:01:58,71.9167,114.0833,-1.37,93,97,8.03
13,Alofi,NU,2022-10-30 01:01:59,-19.0595,-169.9187,76.95,80,76,19.91
14,Punta Arenas,CL,2022-10-30 01:01:59,-53.15,-70.9167,41.11,60,46,23.78
15,Vostok,RU,2022-10-30 01:02:00,46.4856,135.8833,38.39,49,0,1.9
16,Lorengau,PG,2022-10-30 01:02:00,-2.0226,147.2712,85.69,65,100,7.31
17,Jamestown,US,2022-10-30 01:02:01,42.097,-79.2353,55.04,66,0,3.44
18,Souillac,MU,2022-10-30 01:02:02,-20.5167,57.5167,71.02,84,6,9.8
19,Avarua,CK,2022-10-30 01:02:02,-21.2078,-159.775,77.05,69,20,19.57
20,Kaeo,NZ,2022-10-30 01:02:03,-35.1,173.7833,68.32,97,100,6.73
21,Thompson,CA,2022-10-30 01:02:03,55.7435,-97.8558,41.16,65,100,5.75
22,Salalah,OM,2022-10-30 01:02:04,17.0151,54.0924,72.23,77,8,2.91
